freq,age,sex,indic_il,unit,geo\TIME_PERIOD	2016 	2017 	2018 	2019 	2020 	2021 
A,Y_GE18,T,MED_E,EUR,AT	24400 	25644 	26237 	26567 	27425 	28113 
A,Y_GE18,T,MED_E,EUR,BE	22267 	22730 	23752 	24730 b	25783 	25969 
A,Y_GE18,T,MED_E,EUR,BG	3212 b	3649 	3649 	4285 	4684 	5191 
A,Y_GE18,T,MED_E,EUR,CY	14132 	14581 	15516 	16453 	16908 	16909 
A,Y_GE18,T,MED_E,EUR,CZ	7905 	8301 	9092 	9995 	10704 	10733 
A,Y_GE18,T,MED_E,EUR,DE	21467 	22175 	22882 	23699 	26274 b	25288 
A,Y_GE18,T,MED_E,EUR,DK	28278 	29067 	30089 	30436 	30508 b	31815 
A,Y_GE18,T,MED_E,EUR,EE	8529 	9326 	10385 	11291 	12138 	12472 
A,Y_GE18,T,MED_E,EUR,EL	7676 	7753 	8000 	8377 	8950 	8950 
A,Y_GE18,T,MED_E,EUR,ES	13933 	14437 	14978 	15271 	16405 	16267 
A,Y_GE18,T,MED_E,EUR,FI	23797 	24178 	24697 	24998 	25627 	25570 
A,Y_GE18,T,MED_E,EUR,FR	22187 	22495 	22767 	22917 	22643 b	23092 
A,Y_GE18,T,MED_E,EUR,HR	5794 	6266 	6742 	7322 	7915 	8118 
A,Y_GE18,T,MED_E,EUR,HU	4892 	5108 	5497 	5942 	6561 	6715 
A,Y_GE18,T,MED_E,EUR,IE	23107 	23398 	25564 	26023 	27505 b	28956 
A,Y_GE18,T,MED_E,EUR,IT	16758 	16972 	17295 	17554 	18407 	18032 
A,Y_GE18,T,MED_E,EUR,LT	5732 	6225 	6935 	7734 	8636 	9603 
A,Y_GE18,T,MED_E,EUR,LU	34073 b	37203 	35968 	37725 	39093 b	43870 b
A,Y_GE18,T,MED_E,EUR,LV	6302 	6605 	7255 	8023 	8663 	9278 
A,Y_GE18,T,MED_E,EUR,MT	13837 	14648 	14940 	15521 	16417 	17173 
A,Y_GE18,T,MED_E,EUR,NL	22833 b	23581 	23955 	24581 	25898 	28107 
A,Y_GE18,T,MED_E,EUR,PL	5962 	5974 	6598 	7150 	8001 	8297 
A,Y_GE18,T,MED_E,EUR,PT	8860 	9150 	9411 	10145 	10894 	11115 
A,Y_GE18,T,MED_E,EUR,RO	2532 	2845 	3404 	3961 	4394 	4914 
A,Y_GE18,T,MED_E,EUR,SE	25460 	25840 	26030 	25005 	25148 	25925 
A,Y_GE18,T,MED_E,EUR,SI	12326 	12733 	13242 	14075 	14857 	15415 
A,Y_GE18,T,MED_E,EUR,SK	7165 	7353 	7799 	8373 	8950 	8744 
