freq,unit,sex,age,isced11,geo\TIME_PERIOD	2016 	2017 	2018 	2019 	2020 	2021 
A,PC,T,Y20-64,TOTAL,AT	74.8 	75.4 	76.2 	76.8 	75.5 	75.6 b
A,PC,T,Y20-64,TOTAL,BE	67.7 	68.5 b	69.7 	70.5 	70.0 	70.6 b
A,PC,T,Y20-64,TOTAL,BG	67.7 	71.3 	72.4 	75.0 	73.4 	73.2 b
A,PC,T,Y20-64,TOTAL,CY	68.7 	70.8 	73.9 	75.7 	74.9 	75.9 b
A,PC,T,Y20-64,TOTAL,CZ	76.7 	78.5 	79.9 	80.3 	79.7 	80.0 b
A,PC,T,Y20-64,TOTAL,DE	78.6 	79.2 	79.9 	80.6 	79.2 b	79.4 b
A,PC,T,Y20-64,TOTAL,DK	76.0 b	76.6 b	77.5 	78.3 	77.8 	79.1 b
A,PC,T,Y20-64,TOTAL,EE	76.4 	78.3 	79.1 	79.7 	78.2 	79.3 b
A,PC,T,Y20-64,TOTAL,EL	56.2 	57.8 	59.5 	61.2 	61.1 	62.6 b
A,PC,T,Y20-64,TOTAL,ES	63.9 	65.5 	67.0 	68.0 	65.7 	67.7 bd
A,PC,T,Y20-64,TOTAL,FI	73.4 	74.2 	76.3 	77.2 	76.5 	76.8 b
A,PC,T,Y20-64,TOTAL,FR	70.0 	70.6 	71.3 	71.6 	71.4 	73.2 bd
A,PC,T,Y20-64,TOTAL,HR	61.4 	63.6 	65.2 	66.7 	66.9 	68.2 b
A,PC,T,Y20-64,TOTAL,HU	71.5 	73.3 	74.4 	75.3 	75.0 	78.8 b
A,PC,T,Y20-64,TOTAL,IE	71.4 	73.0 b	74.1 	75.1 	73.4 	74.9 b
A,PC,T,Y20-64,TOTAL,IT	61.6 	62.3 	63.0 	63.5 	62.6 	62.7 b
A,PC,T,Y20-64,TOTAL,LT	75.2 	76.0 	77.8 	78.2 	76.7 	77.4 b
A,PC,T,Y20-64,TOTAL,LU	70.7 	71.5 	72.1 	72.8 	72.1 	74.1 b
A,PC,T,Y20-64,TOTAL,LV	73.2 	74.8 	76.8 	77.4 	77.0 	75.3 b
A,PC,T,Y20-64,TOTAL,MT	71.1 	73.0 	75.5 	76.8 	77.3 	79.1 b
A,PC,T,Y20-64,TOTAL,NL	77.1 	78.0 	79.2 	80.1 b	80.0 	81.7 b
A,PC,T,Y20-64,TOTAL,PL	69.3 	70.9 	72.2 	73.0 	73.6 	75.4 b
A,PC,T,Y20-64,TOTAL,PT	70.6 	73.4 	75.4 	76.1 	74.7 	75.9 b
A,PC,T,Y20-64,TOTAL,RO	66.3 	68.8 	69.9 	70.9 	70.8 	67.1 b
A,PC,T,Y20-64,TOTAL,SE	81.2 	81.8 	82.4 b	82.1 	80.8 	80.7 b
A,PC,T,Y20-64,TOTAL,SI	70.1 	73.4 	75.4 	76.4 	75.6 	76.1 b
A,PC,T,Y20-64,TOTAL,SK	69.8 	71.1 	72.4 	73.4 	72.5 	74.6 b
