freq,indic_de,geo\TIME_PERIOD	2016 	2017 	2018 	2019 	2020 	2021 
A,JAN,AT	8700471 	8772865 	8822267 	8858775 	8901064 	8932664 
A,JAN,BE	11311117 	11351727 	11398589 	11455519 	11522440 	11554767 
A,JAN,BG	7153784 	7101859 	7050034 	7000039 	6951482 	6916548 
A,JAN,CY	848319 	854802 	864236 	875899 	888005 	896007 
A,JAN,CZ	10553843 	10578820 	10610055 	10649800 	10693939 	10494836 b
A,JAN,DE	82175684 	82521653 	82792351 	83019213 	83166711 	83155031 
A,JAN,DK	5707251 	5748769 	5781190 	5806081 	5822763 	5840045 
A,JAN,EE	1315944 	1315635 	1319133 	1324820 	1328976 	1330068 
A,JAN,EL	10783748 	10768193 	10741165 	10724599 	10718565 	10678632 
A,JAN,ES	46440099 	46528024 	46658447 	46937060 	47332614 	47398695 
A,JAN,FI	5487308 	5503297 	5513130 	5517919 	5525292 	5533793 
A,JAN,FR	66638391 	66809816 	67026224 	67290471 	67485531 	67656682 p
A,JAN,HR	4190669 	4154213 	4105493 	4076246 	4058165 	4036355 
A,JAN,HU	9830485 	9797561 	9778371 	9772756 	9769526 	9730772 
A,JAN,IE	4726286 	4784383 	4830392 	4904240 e	4964440 	5006324 
A,JAN,IT	60665551 	60589445 	60483973 	59816673 b	59641488 	59236213 
A,JAN,LT	2888558 	2847904 	2808901 	2794184 	2794090 	2795680 
A,JAN,LU	576249 	590667 b	602005 	613894 	626108 	634730 
A,JAN,LV	1968957 	1950116 	1934379 	1919968 	1907675 	1893223 
A,JAN,MT	450415 	460297 	475701 	493559 	514564 	516100 
A,JAN,NL	16979120 	17081507 	17181084 	17282163 	17407585 	17475415 
A,JAN,PL	37967209 	37972964 	37976687 e	37972812 	37958138 e	37840001 ep
A,JAN,PT	10341330 	10309573 	10291027 	10276617 	10295909 	10298252 
A,JAN,RO	19760585 	19643949 	19533481 	19414458 	19328838 e	19201662 
A,JAN,SE	9851017 	9995153 	10120242 	10230185 	10327589 	10379295 
A,JAN,SI	2064188 	2065895 	2066880 	2080908 	2095861 	2108977 
A,JAN,SK	5426252 	5435343 	5443120 	5450421 	5457873 	5459781 
