freq,age,unit,sex,geo\TIME_PERIOD	2016 	2017 	2018 	2019 	2020 	2021 
A,Y15-74,PC_POP,T,AT	4.4 	4.0 	3.6 	3.3 	4.1 	4.2 
A,Y15-74,PC_POP,T,BE	4.7 	4.3 b	3.6 	3.3 	3.4 	3.8 
A,Y15-74,PC_POP,T,BG	5.1 	4.4 	3.8 	3.3 	3.8 	3.3 
A,Y15-74,PC_POP,T,CY	8.6 	7.4 	5.7 	4.9 	5.2 	5.2 
A,Y15-74,PC_POP,T,CZ	2.6 	1.9 	1.5 	1.3 	1.7 	1.9 
A,Y15-74,PC_POP,T,DE	2.7 	2.4 	2.2 	2.1 	2.5 b	2.5 
A,Y15-74,PC_POP,T,DK	4.1 b	4.0 b	3.5 	3.5 	3.9 	3.6 
A,Y15-74,PC_POP,T,EE	4.9 	4.2 	3.9 	3.2 	5.0 	4.4 
A,Y15-74,PC_POP,T,EL	14.2 	13.0 	11.7 	10.7 	10.0 	8.6 
A,Y15-74,PC_POP,T,ES	12.8 	11.2 	9.9 	9.1 	9.9 	9.6 d
A,Y15-74,PC_POP,T,FI	5.8 	5.7 	4.9 	4.5 	5.1 	5.2 
A,Y15-74,PC_POP,T,FR	6.3 	5.9 	5.7 	5.3 	5.0 	4.9 d
A,Y15-74,PC_POP,T,HR	7.5 	6.5 	4.9 	3.8 	4.3 	4.5 
A,Y15-74,PC_POP,T,HU	3.1 	2.6 	2.3 	2.1 	2.7 	2.7 
A,Y15-74,PC_POP,T,IE	5.6 	4.5 	3.9 	3.3 	3.8 	4.3 
A,Y15-74,PC_POP,T,IT	6.6 	6.4 	6.1 	5.7 	5.2 	5.3 
A,Y15-74,PC_POP,T,LT	5.3 	4.8 	4.3 	4.4 	6.0 	5.0 
A,Y15-74,PC_POP,T,LU	4.0 	3.5 	3.6 	3.7 	4.4 	3.5 
A,Y15-74,PC_POP,T,LV	6.6 	6.0 	5.2 	4.4 	5.7 	5.1 
A,Y15-74,PC_POP,T,MT	2.9 	2.5 	2.4 	2.4 	2.9 	2.3 
A,Y15-74,PC_POP,T,NL	5.1 	4.2 	3.6 	3.3 	3.6 	3.1 
A,Y15-74,PC_POP,T,PL	3.8 	3.0 	2.4 	2.0 	1.9 	2.1 
A,Y15-74,PC_POP,T,PT	7.3 	5.9 	4.7 	4.4 	4.5 	4.4 
A,Y15-74,PC_POP,T,RO	3.8 	3.3 	2.9 	2.7 	3.4 	3.2 
A,Y15-74,PC_POP,T,SE	5.1 	4.9 	4.7 b	5.1 	6.2 	6.5 
A,Y15-74,PC_POP,T,SI	5.0 	4.2 	3.3 	2.9 	3.2 	3.1 
A,Y15-74,PC_POP,T,SK	6.4 	5.4 	4.3 	3.8 	4.4 	4.5 
